Image Path,Prompt,Output Answer
"/media/pics/test_dataset_17_images/Picture1.jpg","Given the following list of medical conditions, analyse and carefully classify which are depicted in the image: Conditions such as 'cardiomegaly', 'lung opacity', 'lung lesion', 'edema', 'consolidation', 'pneumonia', 'atelectasis', 'pneumothorax', 'pleural effusion', 'pleural other', 'fractured',  'enlarged cardiomediastinum' or 'no finding' ","["The image shows a baby's chest X-ray\, which displays a lung lesion. The presence of a lung lesion suggests that the baby might have a medical condition related to the lungs\, such as pneumonia\, atelectasis\, or a congenital abnormality. However\, without more information\, it is not possible to definitively determine the exact condition."]"
"/media/pics/test_dataset_17_images/Picture2.jpg","Given the following list of medical conditions, analyse and carefully classify which are depicted in the image: Conditions such as 'cardiomegaly', 'lung opacity', 'lung lesion', 'edema', 'consolidation', 'pneumonia', 'atelectasis', 'pneumothorax', 'pleural effusion', 'pleural other', 'fractured',  'enlarged cardiomediastinum' or 'no finding' ","["The image shows a baby's chest X-ray\, which displays a lung lesion. The presence of a lung lesion suggests that the baby might have a medical condition such as pneumonia\, atelectasis\, or other respiratory issues. However\, it is important to note that the image does not provide enough information to confidently diagnose the specific condition."]"
"/media/pics/test_dataset_17_images/Picture3.jpg","Given the following list of medical conditions, analyse and carefully classify which are depicted in the image: Conditions such as 'cardiomegaly', 'lung opacity', 'lung lesion', 'edema', 'consolidation', 'pneumonia', 'atelectasis', 'pneumothorax', 'pleural effusion', 'pleural other', 'fractured',  'enlarged cardiomediastinum' or 'no finding' ","["The image shows a baby's chest X-ray\, which displays a lung lesion. The presence of a lung lesion suggests that the baby might have a medical condition such as pneumonia\, atelectasis\, or other respiratory issues. However\, it is important to note that the image does not provide enough information to confidently diagnose the specific condition."]"
"/media/pics/test_dataset_17_images/Picture4.png","Given the following list of medical conditions, analyse and carefully classify which are depicted in the image: Conditions such as 'cardiomegaly', 'lung opacity', 'lung lesion', 'edema', 'consolidation', 'pneumonia', 'atelectasis', 'pneumothorax', 'pleural effusion', 'pleural other', 'fractured',  'enlarged cardiomediastinum' or 'no finding' ","['The image shows a chest X-ray of a person\, which displays a lung lesion. The presence of a lung lesion suggests that the person might have a medical condition such as lung cancer\, pulmonary fibrosis\, or chronic obstructive pulmonary disease (COPD). However\, without more information\, it is not possible to definitively diagnose the specific condition.']"
"/media/new_models/kir/PromptMRG/data/iu_xray/iu_xray/images/CXR2386_IM-0942/0.png","Given the following list of medical conditions, analyse and carefully classify which are depicted in the image: Conditions such as 'cardiomegaly', 'lung opacity', 'lung lesion', 'edema', 'consolidation', 'pneumonia', 'atelectasis', 'pneumothorax', 'pleural effusion', 'pleural other', 'fractured',  'enlarged cardiomediastinum' or 'no finding' ","['The image shows a chest X-ray of a person\, which displays a lung lesion. The presence of the lung lesion suggests that the person might have a medical condition such as lung cancer or a benign lung tumor. However\, the image does not provide enough information to confidently determine the exact diagnosis or the presence of other conditions like cardiomegaly\, pneumonia\, atelectasis\, or pleural effusion.']"
"/media/new_models/kir/PromptMRG/data/iu_xray/iu_xray/images/CXR2871_IM-1277/0.png","Given the following list of medical conditions, analyse and carefully classify which are depicted in the image: Conditions such as 'cardiomegaly', 'lung opacity', 'lung lesion', 'edema', 'consolidation', 'pneumonia', 'atelectasis', 'pneumothorax', 'pleural effusion', 'pleural other', 'fractured',  'enlarged cardiomediastinum' or 'no finding' ","['The image shows a chest X-ray of a person\, which displays a lung lesion and consolidation. The presence of these findings suggests that the person might have a respiratory condition\, such as pneumonia or lung cancer. The consolidation indicates that the lung tissue is affected\, and the lesion could be a tumor or an infection. However\, it is important to note that the image does not provide enough information to confidently diagnose the specific condition.']"
"/media/new_models/kir/PromptMRG/data/iu_xray/iu_xray/images/CXR2416_IM-0961/0.png","Given the following list of medical conditions, analyse and carefully classify which are depicted in the image: Conditions such as 'cardiomegaly', 'lung opacity', 'lung lesion', 'edema', 'consolidation', 'pneumonia', 'atelectasis', 'pneumothorax', 'pleural effusion', 'pleural other', 'fractured',  'enlarged cardiomediastinum' or 'no finding' ","['The image shows a person with a large chest\, which could be indicative of a condition such as cardiomegaly.\n\nHowever\, without more specific details or a clear view of the lungs\, it is not possible to confidently determine if there are any lung lesions\, opacities\, or other conditions. The presence of a large chest might suggest that the person has a larger heart\, but it is not possible to determine if there are any other specific conditions related to the lungs or other organs.']"
"/media/new_models/kir/PromptMRG/data/iu_xray/iu_xray/images/CXR1524_IM-0339/0.png","Given the following list of medical conditions, analyse and carefully classify which are depicted in the image: Conditions such as 'cardiomegaly', 'lung opacity', 'lung lesion', 'edema', 'consolidation', 'pneumonia', 'atelectasis', 'pneumothorax', 'pleural effusion', 'pleural other', 'fractured',  'enlarged cardiomediastinum' or 'no finding' ","['The image shows a chest X-ray of a person\, which displays a lung lesion and consolidation. The presence of these findings suggests that the patient might have a respiratory condition\, such as pneumonia or lung cancer. The consolidation indicates that the lung tissue is affected\, and the lesion could be a tumor or an infection. However\, it is important to note that the image does not provide enough information to confidently diagnose the specific condition.']"
"/media/new_models/kir/PromptMRG/data/iu_xray/iu_xray/images/CXR1524_IM-0339/1.png","Given the following list of medical conditions, analyse and carefully classify which are depicted in the image: Conditions such as 'cardiomegaly', 'lung opacity', 'lung lesion', 'edema', 'consolidation', 'pneumonia', 'atelectasis', 'pneumothorax', 'pleural effusion', 'pleural other', 'fractured',  'enlarged cardiomediastinum' or 'no finding' ","["The image shows a back view of a person's body\, with a focus on the spine and ribcage. There are no visible signs of any of the listed medical conditions."]"
"/media/new_models/kir/PromptMRG/data/iu_xray/iu_xray/images/CXR1112_IM-0078/1.png","Given the following list of medical conditions, analyse and carefully classify which are depicted in the image: Conditions such as 'cardiomegaly', 'lung opacity', 'lung lesion', 'edema', 'consolidation', 'pneumonia', 'atelectasis', 'pneumothorax', 'pleural effusion', 'pleural other', 'fractured',  'enlarged cardiomediastinum' or 'no finding' ","['The image shows a chest X-ray of a baby\, which indicates that the baby has a congenital heart defect. The presence of a large heart in the chest suggests that the baby has a cardiomegaly. The image does not show any other conditions such as lung opacity\, lung lesion\, edema\, consolidation\, pneumonia\, atelectasis\, pneumothorax\, pleural effusion\, pleural other\, fractured\, enlarged cardiomediastinum\, or no finding.']"
